id,y1,y2,y3
1,-9040,-6416,-7273
2,-7213,-8912,-8010
3,-6044,-6086,-10135
4,-8367,-8003,-8314
5,-7878,-8706,-9239
6,-8144,-8258,-8495
7,-8294,-8190,-8892
8,-7728,-8774,-8842
9,-8743,-7262,-8017
10,-8592,-7512,-7722
11,-8754,-6977,-7891
12,-8745,-7198,-7352
13,-8265,-7579,-9360
14,-7494,-6497,-9732
15,-7965,-7980,-9551
16,-7744,-7058,-9652
17,-7785,-7360,-9612
18,-7535,-6799,-9692
19,-8181,-6506,-9441
20,-8224,-7277,-9400
21,-7103,-6783,-9903
22,-7451,-7483,-9780
23,-7134,-6345,-9832
24,-6971,-7264,-10032
25,-7003,-6684,-9930
26,-6624,-6132,-10049
27,-6124,-6607,-10101
28,-8670,-5803,-8516
29,-8511,-6793,-8792
30,-8551,-7018,-8742
31,-8384,-6364,-9134
32,-8714,-6651,-8485
33,-8800,-5986,-7541
34,-8811,-5701,-7415
35,-8987,-5873,-7360
36,-7634,-8076,-9588
37,-6984,-7817,-9886
38,-6884,-7990,-9720
39,-7464,-8036,-9634
40,-5698,-7515,-9974
41,-7298,-8660,-9325
42,-7398,-8487,-9491
43,-6790,-8853,-8387
44,-7865,-8153,-9385
45,-7798,-8185,-9273
46,-8115,-7647,-8963
47,-8265,-7670,-8924
48,-8313,-7057,-8936
49,-8354,-7450,-8460
50,-8326,-7610,-8790
51,-8297,-7090,-8822
52,-8327,-7778,-8364
53,-8305,-7905,-8766
54,-8305,-7996,-8330
55,-8414,-7052,-8676
56,-8401,-7086,-8345
57,-8552,-7186,-8316
58,-8591,-7344,-8148
59,-8441,-7412,-7751
60,-8284,-6537,-8968
61,-8344,-6619,-8865
62,-7385,-7934,-9637
63,-7384,-7515,-9668
64,-6852,-7400,-9906
65,-6904,-7296,-9920
66,-8690,-6719,-8104
67,-7483,-6903,-9678
68,-8589,-6791,-8196
69,-8562,-6824,-8180
