id,y1,y2,y3
1,-10271,-7748,-6238
2,-6908,-10781,-5728
3,-7115,-7065,-7902
4,-10085,-10166,-6851
5,-8754,-10484,-5974
6,-9403,-10179,-6708
7,-8638,-10603,-5868
8,-7956,-10616,-5725
9,-7124,-10691,-5517
10,-10185,-9418,-6127
11,-10184,-9642,-6111
12,-10255,-8725,-6001
13,-10270,-7972,-6222
14,-9299,-8695,-7400
15,-8649,-8314,-7793
16,-8933,-7947,-7571
17,-8713,-8483,-7592
18,-7561,-8565,-7829
19,-7781,-8029,-7808
20,-7210,-8016,-7867
21,-10171,-8496,-6962
22,-9548,-8476,-7167
23,-9686,-7788,-7117
24,-9397,-8641,-7179
25,-6550,-9832,-7503
26,-7576,-8764,-7696
27,-6886,-9177,-7588
28,-7418,-9007,-7626
29,-7044,-8934,-7658
30,-6708,-9589,-7573
31,-8483,-9232,-7584
32,-6874,-8671,-7782
33,-7445,-8684,-7723
34,-8310,-10523,-6840
35,-6695,-10209,-7202
36,-8362,-10235,-7147
37,-8470,-9852,-7213
38,-6848,-10668,-6377
39,-6915,-10672,-6164
40,-8534,-10021,-7012
41,-8418,-10140,-6906
42,-9114,-9529,-7164
43,-9178,-9698,-6963
44,-8646,-9868,-6925
45,-9062,-9817,-6857
46,-9321,-9256,-7166
47,-9382,-9394,-6958
48,-9381,-9618,-6942
49,-9472,-8734,-6988
50,-9398,-9162,-6942
51,-9670,-8765,-6880
52,-9671,-8541,-6896
53,-10155,-9473,-6725
54,-10156,-9249,-6741
55,-8623,-10311,-6388
56,-8690,-10315,-6175
57,-8717,-10203,-6078
58,-8650,-10199,-6291
59,-8687,-10480,-6187
60,-9547,-8700,-7151
61,-8441,-10421,-6249
62,-8571,-10599,-6081
63,-8864,-7961,-7414
64,-8597,-8602,-7486
65,-8555,-8726,-7522
66,-9257,-9087,-7367
67,-8570,-8925,-7389
68,-7702,-9750,-7266
69,-8340,-9674,-7381
70,-8437,-8405,-7654
71,-7567,-8653,-7711
72,-7889,-10612,-5938
73,-8325,-9475,-7514
74,-8547,-9401,-7383
75,-8431,-9520,-7277
76,-8389,-9644,-7313
77,-9156,-9137,-7197
78,-8849,-9127,-7229
79,-8609,-9108,-7292
80,-8506,-8756,-7590
81,-7638,-8471,-7605
82,-7460,-8883,-7590
83,-8558,-9561,-6987
84,-8537,-9856,-7000
85,-9205,-9375,-7060
86,-9163,-9499,-7096
87,-9286,-9315,-7029
88,-9541,-8720,-7145
